§6§lEpic Network §7| §eSurvival §a
§e§lWheatFarm §7| §6Cozy Cottage SMP §e| §7Farm Life
§6§lCopperCove §7| §eSteampunk Realm §6| §7Full Steam
§b§lGlacierPass §7| §fSnowy Peaks §b| §7Stay Warm
§c§lCrimsonKeep §7| §4Castle Siege §c| §fHold the Wall
§a§lJungleDrum §7| §2Temple Raids §a| §eAdventure!
§d§lVioletVale §7| §5Flower SMP §d| §fPeaceful Play
§e§lSandStorm §7| §6Desert Factions §e| §7Brave the Dunes
§6§lOakHaven §7| §aStarter Friendly §6| §fJoin Today
§b§lCoralReef §7| §3Dive SMP §b| §7Reef Builders
§c§lInfernoPeak §7| §6Lava Survival §c| §7Hot & Spicy
§a§lWillowCreek §7| §2Fishing Village §a| §fCast Away
§d§lNebulaCraft §7| §5Space SMP §d| §fTo the Stars
§e§lMapleLeaf §7| §6Autumn SMP §e| §7Fall Vibes
§6§lBronzeAge §7| §eHistory RP §6| §7New Era
§b§lIcePalace §7| §fFrozen Kingdom §b| §7Winter Event
§c§lWarZone MC §7| §4Kit PVP §c| §fNo Hackers
§a§lSunFlower §7| §eChill SMP §a| §7Good Vibes Only
§d§lMoonLit §7| §5Night Owls SMP §d| §fLate Night Crew
§e§lPixelPioneers §7| §6Frontier Survival §e| §7Go West
§6§lCraftColony §7| §eAnts SMP §6| §7Work Together
§b§lDeepBlue §7| §3Atlantis Build §b| §7Under the Sea
§c§lPhoenixRise §7| §6Reborn SMP §c| §7Season 5 Live
§a§lEmeraldIsle §7| §2Lucky Charms §a| §fFresh Wipe
§d§lAmethystCave §7| §5Geode Hunters §d| §fShiny Loot
§e§lCornField §7| §6Harvest SMP §e| §7Farm & Friends
§6§lStoneBridge §7| §7Medieval RP §6| §fKnights Wanted
§b§lRainyDay §7| §3Cozy Cabin SMP §b| §7Hot Cocoa
§c§lDragonFire §7| §4OP Factions §c| §fRaids Daily
§a§lMintChip §7| §aFresh Survival §2| §fJust Wiped
§d§lLavenderLane §7| §5Cottage Core §d| §fSoft SMP
§e§lCactusJack §7| §6Desert Outlaws §e| §7Wanted!
§6§lHammerFall §7| §eDwarf Fortress §6| §7Dig Deep
§b§lPolarNight §7| §fArctic SMP §b| §7Aurora Season
§c§lSkullIsland §7| §4Pirate SMP §c| §fArr, Matey!
§a§lBambooBay §7| §2Panda Paradise §a| §fChill Zone
§d§lGrapeVine §7| §5Vineyard RP §d| §fWine & Dine
§e§lLemonDrop §7| §eSunny SMP §6| §7Fresh & Fun
§6§lCastleRock §7| §7Siege Warfare §6| §fEpic Battles
§b§lBubbleGum §7| §dCandy Land §b| §fSweet Builds
§c§lRustBucket §7| §8Apocalypse SMP §c| §7Scavenge!
§a§lFernGully §7| §2Rainforest RP §a| §fWild Life
§d§lPlumPlaza §7| §5City Build §d| §fPlots Open
§e§lWaffleHouse §7| §6Breakfast SMP §e| §7Syrup & Stacks
§6§lTitanFall MC §7| §cMecha PVP §6| §fNew Arena
§b§lSnowGlobe §7| §fMini Biomes §b| §fTiny Worlds
§c§lVenomPit §7| §2Jungle PVP §c| §fSnake Bite
§a§lAppleOrchard §7| §cHarvest Season §a| §fPick & Play
§d§lOrchidOasis §7| §5Tropical SMP §d| §fIsland Life
§e§lBrickRoad §7| §6Yellow Path RP §e| §fFollow Me
§6§lAnvilArts §7| §fBuilder Showcase §6| §fCreative
§b§lFrozenLake §7| §3Ice Fishing §b| §fWinter Catch
§c§lMagmaCore §7| §4Core Raiders §c| §fHeat Check
§a§lIvyLeague §7| §2Scholar SMP §a| §fStudy & Build
§d§lBubbleReef §7| §bCoral Kingdom §d| §fMermaid RP
§e§lPeachPit §7| §6Orchard SMP §e| §fJuicy Fun
§6§lWolfPack §7| §8Howl SMP §6| §fRun Wild
§b§lEagleNest §7| §fMountain Peaks §b| §fSoar High
§c§lTigerClaw §7| §6Jungle Factions §c| §fRawr!
§a§lBearDen §7| §2Forest Survival §a| §fGrizzly Season
§d§lFoxHole §7| §6Sneaky SMP §d| §fClever Plays
§e§lPandaExpress §7| §aBamboo Crew §e| §fNom Nom
§6§lLionHeart §7| §eSavanna Kings §6| §fRoar!
§b§lDolphinDash §7| §3Wave Riders §b| §fSplash!
§c§lFalconPunch §7| §4Sky PVP §c| §fPunch Out
§a§lTurtleBay §7| §2Slow & Steady §a| §fCozy SMP
